Proporção: | readers |0| writers |100| Execução |0| tempo | 11597|ms
Proporção: | readers |0| writers |100| Execução |1| tempo | 7845|ms
Proporção: | readers |1| writers |99| Execução |0| tempo | 6997|ms
Proporção: | readers |1| writers |99| Execução |1| tempo | 10574|ms
Proporção: | readers |2| writers |98| Execução |0| tempo | 11326|ms
Proporção: | readers |2| writers |98| Execução |1| tempo | 7244|ms
Proporção: | readers |3| writers |97| Execução |0| tempo | 11705|ms
Proporção: | readers |3| writers |97| Execução |1| tempo | 9982|ms
Proporção: | readers |4| writers |96| Execução |0| tempo | 7183|ms
Proporção: | readers |4| writers |96| Execução |1| tempo | 8765|ms
Proporção: | readers |5| writers |95| Execução |0| tempo | 10722|ms
Proporção: | readers |5| writers |95| Execução |1| tempo | 7771|ms
Proporção: | readers |6| writers |94| Execução |0| tempo | 10103|ms
Proporção: | readers |6| writers |94| Execução |1| tempo | 13623|ms
Proporção: | readers |7| writers |93| Execução |0| tempo | 8234|ms
Proporção: | readers |7| writers |93| Execução |1| tempo | 7866|ms
Proporção: | readers |8| writers |92| Execução |0| tempo | 12478|ms
Proporção: | readers |8| writers |92| Execução |1| tempo | 11585|ms
Proporção: | readers |9| writers |91| Execução |0| tempo | 13367|ms
Proporção: | readers |9| writers |91| Execução |1| tempo | 10897|ms
Proporção: | readers |10| writers |90| Execução |0| tempo | 10372|ms
Proporção: | readers |10| writers |90| Execução |1| tempo | 8724|ms
Proporção: | readers |11| writers |89| Execução |0| tempo | 8462|ms
Proporção: | readers |11| writers |89| Execução |1| tempo | 10793|ms
Proporção: | readers |12| writers |88| Execução |0| tempo | 9309|ms
Proporção: | readers |12| writers |88| Execução |1| tempo | 11685|ms
Proporção: | readers |13| writers |87| Execução |0| tempo | 10388|ms
Proporção: | readers |13| writers |87| Execução |1| tempo | 10325|ms
Proporção: | readers |14| writers |86| Execução |0| tempo | 12749|ms
Proporção: | readers |14| writers |86| Execução |1| tempo | 14628|ms
Proporção: | readers |15| writers |85| Execução |0| tempo | 13758|ms
Proporção: | readers |15| writers |85| Execução |1| tempo | 12381|ms
Proporção: | readers |16| writers |84| Execução |0| tempo | 13434|ms
Proporção: | readers |16| writers |84| Execução |1| tempo | 6875|ms
Proporção: | readers |17| writers |83| Execução |0| tempo | 12275|ms
Proporção: | readers |17| writers |83| Execução |1| tempo | 11496|ms
Proporção: | readers |18| writers |82| Execução |0| tempo | 10642|ms
Proporção: | readers |18| writers |82| Execução |1| tempo | 9976|ms
Proporção: | readers |19| writers |81| Execução |0| tempo | 10704|ms
Proporção: | readers |19| writers |81| Execução |1| tempo | 10480|ms
Proporção: | readers |20| writers |80| Execução |0| tempo | 11950|ms
Proporção: | readers |20| writers |80| Execução |1| tempo | 9802|ms
Proporção: | readers |21| writers |79| Execução |0| tempo | 13465|ms
Proporção: | readers |21| writers |79| Execução |1| tempo | 12238|ms
Proporção: | readers |22| writers |78| Execução |0| tempo | 11011|ms
Proporção: | readers |22| writers |78| Execução |1| tempo | 10798|ms
Proporção: | readers |23| writers |77| Execução |0| tempo | 13931|ms
Proporção: | readers |23| writers |77| Execução |1| tempo | 13037|ms
Proporção: | readers |24| writers |76| Execução |0| tempo | 12789|ms
Proporção: | readers |24| writers |76| Execução |1| tempo | 11138|ms
Proporção: | readers |25| writers |75| Execução |0| tempo | 12324|ms
Proporção: | readers |25| writers |75| Execução |1| tempo | 10926|ms
Proporção: | readers |26| writers |74| Execução |0| tempo | 14491|ms
Proporção: | readers |26| writers |74| Execução |1| tempo | 12920|ms
Proporção: | readers |27| writers |73| Execução |0| tempo | 7742|ms
Proporção: | readers |27| writers |73| Execução |1| tempo | 14764|ms
Proporção: | readers |28| writers |72| Execução |0| tempo | 13855|ms
Proporção: | readers |28| writers |72| Execução |1| tempo | 14699|ms
Proporção: | readers |29| writers |71| Execução |0| tempo | 11641|ms
Proporção: | readers |29| writers |71| Execução |1| tempo | 10938|ms
Proporção: | readers |30| writers |70| Execução |0| tempo | 12378|ms
Proporção: | readers |30| writers |70| Execução |1| tempo | 12896|ms
Proporção: | readers |31| writers |69| Execução |0| tempo | 11865|ms
Proporção: | readers |31| writers |69| Execução |1| tempo | 11180|ms
Proporção: | readers |32| writers |68| Execução |0| tempo | 11951|ms
Proporção: | readers |32| writers |68| Execução |1| tempo | 12898|ms
Proporção: | readers |33| writers |67| Execução |0| tempo | 13342|ms
Proporção: | readers |33| writers |67| Execução |1| tempo | 12517|ms
Proporção: | readers |34| writers |66| Execução |0| tempo | 11059|ms
Proporção: | readers |34| writers |66| Execução |1| tempo | 15014|ms
Proporção: | readers |35| writers |65| Execução |0| tempo | 14629|ms
Proporção: | readers |35| writers |65| Execução |1| tempo | 13862|ms
Proporção: | readers |36| writers |64| Execução |0| tempo | 16880|ms
Proporção: | readers |36| writers |64| Execução |1| tempo | 14913|ms
Proporção: | readers |37| writers |63| Execução |0| tempo | 12426|ms
Proporção: | readers |37| writers |63| Execução |1| tempo | 16735|ms
Proporção: | readers |38| writers |62| Execução |0| tempo | 13325|ms
Proporção: | readers |38| writers |62| Execução |1| tempo | 13283|ms
Proporção: | readers |39| writers |61| Execução |0| tempo | 14674|ms
Proporção: | readers |39| writers |61| Execução |1| tempo | 13137|ms
Proporção: | readers |40| writers |60| Execução |0| tempo | 11953|ms
Proporção: | readers |40| writers |60| Execução |1| tempo | 15431|ms
Proporção: | readers |42| writers |58| Execução |0| tempo | 14027|ms
Proporção: | readers |42| writers |58| Execução |1| tempo | 11162|ms
Proporção: | readers |43| writers |57| Execução |0| tempo | 10142|ms
Proporção: | readers |43| writers |57| Execução |1| tempo | 14092|ms
Proporção: | readers |44| writers |56| Execução |0| tempo | 15865|ms
Proporção: | readers |44| writers |56| Execução |1| tempo | 14688|ms
Proporção: | readers |45| writers |55| Execução |0| tempo | 13187|ms
Proporção: | readers |45| writers |55| Execução |1| tempo | 13174|ms
Proporção: | readers |46| writers |54| Execução |0| tempo | 14964|ms
Proporção: | readers |46| writers |54| Execução |1| tempo | 7881|ms
Proporção: | readers |47| writers |53| Execução |0| tempo | 14111|ms
Proporção: | readers |47| writers |53| Execução |1| tempo | 13212|ms
Proporção: | readers |48| writers |52| Execução |0| tempo | 11871|ms
Proporção: | readers |48| writers |52| Execução |1| tempo | 5598|ms
