Proporção: | readers |0| writers |100| Execução |0| tempo | 549|ms
Proporção: | readers |0| writers |100| Execução |1| tempo | 290|ms
Proporção: | readers |0| writers |100| Execução |2| tempo | 161|ms
Proporção: | readers |0| writers |100| Execução |3| tempo | 157|ms
Proporção: | readers |0| writers |100| Execução |4| tempo | 156|ms
Proporção: | readers |0| writers |100| Execução |5| tempo | 151|ms
Proporção: | readers |0| writers |100| Execução |6| tempo | 161|ms
Proporção: | readers |0| writers |100| Execução |7| tempo | 138|ms
Proporção: | readers |0| writers |100| Execução |8| tempo | 141|ms
Proporção: | readers |0| writers |100| Execução |9| tempo | 144|ms
Proporção: | readers |0| writers |100| Execução |10| tempo | 138|ms
Proporção: | readers |0| writers |100| Execução |11| tempo | 129|ms
Proporção: | readers |0| writers |100| Execução |12| tempo | 130|ms
Proporção: | readers |0| writers |100| Execução |13| tempo | 131|ms
Proporção: | readers |0| writers |100| Execução |14| tempo | 150|ms
Proporção: | readers |0| writers |100| Execução |15| tempo | 126|ms
Proporção: | readers |0| writers |100| Execução |16| tempo | 109|ms
Proporção: | readers |0| writers |100| Execução |17| tempo | 109|ms
Proporção: | readers |0| writers |100| Execução |18| tempo | 103|ms
Proporção: | readers |0| writers |100| Execução |19| tempo | 93|ms
Proporção: | readers |0| writers |100| Execução |20| tempo | 115|ms
Proporção: | readers |0| writers |100| Execução |21| tempo | 107|ms
Proporção: | readers |0| writers |100| Execução |22| tempo | 106|ms
Proporção: | readers |0| writers |100| Execução |23| tempo | 112|ms
Proporção: | readers |0| writers |100| Execução |24| tempo | 117|ms
Proporção: | readers |0| writers |100| Execução |25| tempo | 118|ms
Proporção: | readers |0| writers |100| Execução |26| tempo | 118|ms
Proporção: | readers |0| writers |100| Execução |27| tempo | 115|ms
Proporção: | readers |0| writers |100| Execução |28| tempo | 113|ms
Proporção: | readers |0| writers |100| Execução |29| tempo | 104|ms
Proporção: | readers |0| writers |100| Execução |30| tempo | 98|ms
Proporção: | readers |0| writers |100| Execução |31| tempo | 111|ms
Proporção: | readers |0| writers |100| Execução |32| tempo | 109|ms
Proporção: | readers |0| writers |100| Execução |33| tempo | 104|ms
Proporção: | readers |0| writers |100| Execução |34| tempo | 101|ms
Proporção: | readers |0| writers |100| Execução |35| tempo | 97|ms
Proporção: | readers |0| writers |100| Execução |36| tempo | 119|ms
Proporção: | readers |0| writers |100| Execução |37| tempo | 100|ms
Proporção: | readers |0| writers |100| Execução |38| tempo | 109|ms
Proporção: | readers |0| writers |100| Execução |39| tempo | 100|ms
Proporção: | readers |0| writers |100| Execução |40| tempo | 113|ms
Proporção: | readers |0| writers |100| Execução |41| tempo | 102|ms
Proporção: | readers |0| writers |100| Execução |42| tempo | 107|ms
Proporção: | readers |0| writers |100| Execução |43| tempo | 105|ms
Proporção: | readers |0| writers |100| Execução |44| tempo | 105|ms
Proporção: | readers |0| writers |100| Execução |45| tempo | 108|ms
Proporção: | readers |0| writers |100| Execução |46| tempo | 102|ms
Proporção: | readers |0| writers |100| Execução |47| tempo | 112|ms
Proporção: | readers |0| writers |100| Execução |48| tempo | 107|ms
Proporção: | readers |0| writers |100| Execução |49| tempo | 111|ms
Proporção: | readers |1| writers |99| Execução |0| tempo | 424|ms
Proporção: | readers |1| writers |99| Execução |1| tempo | 206|ms
Proporção: | readers |1| writers |99| Execução |2| tempo | 219|ms
Proporção: | readers |1| writers |99| Execução |3| tempo | 202|ms
Proporção: | readers |1| writers |99| Execução |4| tempo | 206|ms
Proporção: | readers |1| writers |99| Execução |5| tempo | 217|ms
Proporção: | readers |1| writers |99| Execução |6| tempo | 214|ms
Proporção: | readers |1| writers |99| Execução |7| tempo | 207|ms
Proporção: | readers |1| writers |99| Execução |8| tempo | 210|ms
Proporção: | readers |1| writers |99| Execução |9| tempo | 219|ms
Proporção: | readers |1| writers |99| Execução |10| tempo | 223|ms
Proporção: | readers |1| writers |99| Execução |11| tempo | 199|ms
Proporção: | readers |1| writers |99| Execução |12| tempo | 140|ms
Proporção: | readers |1| writers |99| Execução |13| tempo | 111|ms
Proporção: | readers |1| writers |99| Execução |14| tempo | 111|ms
Proporção: | readers |1| writers |99| Execução |15| tempo | 173|ms
Proporção: | readers |1| writers |99| Execução |16| tempo | 110|ms
Proporção: | readers |1| writers |99| Execução |17| tempo | 138|ms
Proporção: | readers |1| writers |99| Execução |18| tempo | 143|ms
Proporção: | readers |1| writers |99| Execução |19| tempo | 151|ms
Proporção: | readers |1| writers |99| Execução |20| tempo | 146|ms
Proporção: | readers |1| writers |99| Execução |21| tempo | 110|ms
Proporção: | readers |1| writers |99| Execução |22| tempo | 118|ms
Proporção: | readers |1| writers |99| Execução |23| tempo | 109|ms
Proporção: | readers |1| writers |99| Execução |24| tempo | 114|ms
Proporção: | readers |1| writers |99| Execução |25| tempo | 112|ms
Proporção: | readers |1| writers |99| Execução |26| tempo | 115|ms
Proporção: | readers |1| writers |99| Execução |27| tempo | 113|ms
Proporção: | readers |1| writers |99| Execução |28| tempo | 121|ms
Proporção: | readers |1| writers |99| Execução |29| tempo | 118|ms
Proporção: | readers |1| writers |99| Execução |30| tempo | 116|ms
Proporção: | readers |1| writers |99| Execução |31| tempo | 112|ms
Proporção: | readers |1| writers |99| Execução |32| tempo | 117|ms
Proporção: | readers |1| writers |99| Execução |33| tempo | 115|ms
Proporção: | readers |1| writers |99| Execução |34| tempo | 112|ms
Proporção: | readers |1| writers |99| Execução |35| tempo | 114|ms
Proporção: | readers |1| writers |99| Execução |36| tempo | 112|ms
Proporção: | readers |1| writers |99| Execução |37| tempo | 113|ms
Proporção: | readers |1| writers |99| Execução |38| tempo | 102|ms
Proporção: | readers |1| writers |99| Execução |39| tempo | 117|ms
Proporção: | readers |1| writers |99| Execução |40| tempo | 115|ms
Proporção: | readers |1| writers |99| Execução |41| tempo | 118|ms
Proporção: | readers |1| writers |99| Execução |42| tempo | 122|ms
Proporção: | readers |1| writers |99| Execução |43| tempo | 111|ms
Proporção: | readers |1| writers |99| Execução |44| tempo | 118|ms
Proporção: | readers |1| writers |99| Execução |45| tempo | 109|ms
Proporção: | readers |1| writers |99| Execução |46| tempo | 115|ms
Proporção: | readers |1| writers |99| Execução |47| tempo | 112|ms
Proporção: | readers |1| writers |99| Execução |48| tempo | 111|ms
Proporção: | readers |1| writers |99| Execução |49| tempo | 118|ms
Proporção: | readers |2| writers |98| Execução |0| tempo | 482|ms
Proporção: | readers |2| writers |98| Execução |1| tempo | 444|ms
Proporção: | readers |2| writers |98| Execução |2| tempo | 435|ms
Proporção: | readers |2| writers |98| Execução |3| tempo | 426|ms
Proporção: | readers |2| writers |98| Execução |4| tempo | 439|ms
Proporção: | readers |2| writers |98| Execução |5| tempo | 435|ms
Proporção: | readers |2| writers |98| Execução |6| tempo | 439|ms
Proporção: | readers |2| writers |98| Execução |7| tempo | 453|ms
Proporção: | readers |2| writers |98| Execução |8| tempo | 154|ms
Proporção: | readers |2| writers |98| Execução |9| tempo | 135|ms
Proporção: | readers |2| writers |98| Execução |10| tempo | 125|ms
Proporção: | readers |2| writers |98| Execução |11| tempo | 126|ms
Proporção: | readers |2| writers |98| Execução |12| tempo | 125|ms
Proporção: | readers |2| writers |98| Execução |13| tempo | 128|ms
Proporção: | readers |2| writers |98| Execução |14| tempo | 138|ms
Proporção: | readers |2| writers |98| Execução |15| tempo | 127|ms
Proporção: | readers |2| writers |98| Execução |16| tempo | 108|ms
Proporção: | readers |2| writers |98| Execução |17| tempo | 108|ms
Proporção: | readers |2| writers |98| Execução |18| tempo | 100|ms
Proporção: | readers |2| writers |98| Execução |19| tempo | 110|ms
Proporção: | readers |2| writers |98| Execução |20| tempo | 112|ms
Proporção: | readers |2| writers |98| Execução |21| tempo | 111|ms
Proporção: | readers |2| writers |98| Execução |22| tempo | 115|ms
Proporção: | readers |2| writers |98| Execução |23| tempo | 108|ms
Proporção: | readers |2| writers |98| Execução |24| tempo | 113|ms
Proporção: | readers |2| writers |98| Execução |25| tempo | 104|ms
Proporção: | readers |2| writers |98| Execução |26| tempo | 112|ms
Proporção: | readers |2| writers |98| Execução |27| tempo | 111|ms
Proporção: | readers |2| writers |98| Execução |28| tempo | 117|ms
