Proporção: | readers |0| writers |100| Execução |0| tempo | 10300|ms
Proporção: | readers |0| writers |100| Execução |1| tempo | 10428|ms
Proporção: | readers |0| writers |100| Execução |2| tempo | 9454|ms
Proporção: | readers |0| writers |100| Execução |3| tempo | 11440|ms
Proporção: | readers |0| writers |100| Execução |4| tempo | 10309|ms
Proporção: | readers |0| writers |100| Execução |5| tempo | 9815|ms
Proporção: | readers |0| writers |100| Execução |6| tempo | 11372|ms
Proporção: | readers |0| writers |100| Execução |7| tempo | 11962|ms
Proporção: | readers |0| writers |100| Execução |8| tempo | 10448|ms
Proporção: | readers |0| writers |100| Execução |9| tempo | 7931|ms
Proporção: | readers |0| writers |100| Execução |10| tempo | 10173|ms
Proporção: | readers |0| writers |100| Execução |11| tempo | 9046|ms
Proporção: | readers |0| writers |100| Execução |12| tempo | 11035|ms
Proporção: | readers |0| writers |100| Execução |13| tempo | 10243|ms
Proporção: | readers |0| writers |100| Execução |14| tempo | 10062|ms
Proporção: | readers |0| writers |100| Execução |15| tempo | 12711|ms
Proporção: | readers |0| writers |100| Execução |16| tempo | 7968|ms
Proporção: | readers |0| writers |100| Execução |17| tempo | 14096|ms
Proporção: | readers |0| writers |100| Execução |18| tempo | 12303|ms
Proporção: | readers |0| writers |100| Execução |19| tempo | 10536|ms
Proporção: | readers |0| writers |100| Execução |20| tempo | 10766|ms
Proporção: | readers |0| writers |100| Execução |21| tempo | 11898|ms
Proporção: | readers |0| writers |100| Execução |22| tempo | 12159|ms
Proporção: | readers |0| writers |100| Execução |23| tempo | 12751|ms
Proporção: | readers |0| writers |100| Execução |24| tempo | 11916|ms
Proporção: | readers |0| writers |100| Execução |25| tempo | 9405|ms
Proporção: | readers |0| writers |100| Execução |26| tempo | 9943|ms
Proporção: | readers |0| writers |100| Execução |27| tempo | 10724|ms
Proporção: | readers |0| writers |100| Execução |28| tempo | 9168|ms
Proporção: | readers |0| writers |100| Execução |29| tempo | 10146|ms
Proporção: | readers |0| writers |100| Execução |30| tempo | 9163|ms
Proporção: | readers |0| writers |100| Execução |31| tempo | 9986|ms
Proporção: | readers |0| writers |100| Execução |32| tempo | 10191|ms
Proporção: | readers |0| writers |100| Execução |33| tempo | 11538|ms
Proporção: | readers |0| writers |100| Execução |34| tempo | 9282|ms
Proporção: | readers |0| writers |100| Execução |35| tempo | 7994|ms
Proporção: | readers |0| writers |100| Execução |36| tempo | 7745|ms
Proporção: | readers |0| writers |100| Execução |37| tempo | 9538|ms
Proporção: | readers |0| writers |100| Execução |38| tempo | 10877|ms
Proporção: | readers |0| writers |100| Execução |39| tempo | 7618|ms
Proporção: | readers |0| writers |100| Execução |40| tempo | 8392|ms
Proporção: | readers |0| writers |100| Execução |41| tempo | 8838|ms
Proporção: | readers |0| writers |100| Execução |42| tempo | 11755|ms
Proporção: | readers |0| writers |100| Execução |43| tempo | 10933|ms
Proporção: | readers |0| writers |100| Execução |44| tempo | 8095|ms
Proporção: | readers |0| writers |100| Execução |45| tempo | 10088|ms
Proporção: | readers |0| writers |100| Execução |46| tempo | 12920|ms
Proporção: | readers |0| writers |100| Execução |47| tempo | 8506|ms
Proporção: | readers |0| writers |100| Execução |48| tempo | 13239|ms
Proporção: | readers |0| writers |100| Execução |49| tempo | 9880|ms
Proporção: | readers |1| writers |99| Execução |0| tempo | 9011|ms
Proporção: | readers |1| writers |99| Execução |1| tempo | 11372|ms
Proporção: | readers |1| writers |99| Execução |2| tempo | 9056|ms
Proporção: | readers |1| writers |99| Execução |3| tempo | 10230|ms
Proporção: | readers |1| writers |99| Execução |4| tempo | 12497|ms
Proporção: | readers |1| writers |99| Execução |5| tempo | 8621|ms
Proporção: | readers |1| writers |99| Execução |6| tempo | 10782|ms
Proporção: | readers |1| writers |99| Execução |7| tempo | 14929|ms
Proporção: | readers |1| writers |99| Execução |8| tempo | 9454|ms
Proporção: | readers |1| writers |99| Execução |9| tempo | 12220|ms
Proporção: | readers |1| writers |99| Execução |10| tempo | 7384|ms
Proporção: | readers |1| writers |99| Execução |11| tempo | 12269|ms
Proporção: | readers |1| writers |99| Execução |12| tempo | 9159|ms
Proporção: | readers |1| writers |99| Execução |13| tempo | 10500|ms
Proporção: | readers |1| writers |99| Execução |14| tempo | 9387|ms
Proporção: | readers |1| writers |99| Execução |15| tempo | 11745|ms
Proporção: | readers |1| writers |99| Execução |16| tempo | 8490|ms
Proporção: | readers |1| writers |99| Execução |17| tempo | 11309|ms
Proporção: | readers |1| writers |99| Execução |18| tempo | 7621|ms
Proporção: | readers |1| writers |99| Execução |19| tempo | 10217|ms
Proporção: | readers |1| writers |99| Execução |20| tempo | 14592|ms
Proporção: | readers |1| writers |99| Execução |21| tempo | 9339|ms
Proporção: | readers |1| writers |99| Execução |22| tempo | 8169|ms
Proporção: | readers |1| writers |99| Execução |23| tempo | 8055|ms
Proporção: | readers |1| writers |99| Execução |24| tempo | 9479|ms
Proporção: | readers |1| writers |99| Execução |25| tempo | 10885|ms
Proporção: | readers |1| writers |99| Execução |26| tempo | 7404|ms
Proporção: | readers |1| writers |99| Execução |27| tempo | 13053|ms
Proporção: | readers |1| writers |99| Execução |28| tempo | 10690|ms
Proporção: | readers |1| writers |99| Execução |29| tempo | 9349|ms
Proporção: | readers |1| writers |99| Execução |30| tempo | 10627|ms
Proporção: | readers |1| writers |99| Execução |31| tempo | 13198|ms
Proporção: | readers |1| writers |99| Execução |32| tempo | 10386|ms
Proporção: | readers |1| writers |99| Execução |33| tempo | 7158|ms
Proporção: | readers |1| writers |99| Execução |34| tempo | 8431|ms
Proporção: | readers |1| writers |99| Execução |35| tempo | 9392|ms
Proporção: | readers |1| writers |99| Execução |36| tempo | 10602|ms
Proporção: | readers |1| writers |99| Execução |37| tempo | 11106|ms
Proporção: | readers |1| writers |99| Execução |38| tempo | 9523|ms
Proporção: | readers |1| writers |99| Execução |39| tempo | 8536|ms
Proporção: | readers |1| writers |99| Execução |40| tempo | 13945|ms
Proporção: | readers |1| writers |99| Execução |41| tempo | 8661|ms
Proporção: | readers |1| writers |99| Execução |42| tempo | 9120|ms
Proporção: | readers |1| writers |99| Execução |43| tempo | 9281|ms
Proporção: | readers |1| writers |99| Execução |44| tempo | 10163|ms
Proporção: | readers |1| writers |99| Execução |45| tempo | 10878|ms
Proporção: | readers |1| writers |99| Execução |46| tempo | 10411|ms
Proporção: | readers |1| writers |99| Execução |47| tempo | 9130|ms
